bus,direction,asset,carrier,facade_type,Upfront Investment Costs,Annuity Total,Variable Costs Total
ac-elec-bus,in,elec-demand,electricity,load,,,
ac-elec-bus,in,electricity-excess,electricity,excess,,,
ac-elec-bus,out,electricity-grid,electricity,dispatchable,,0.0,57084.057232866726
ac-elec-bus,out,inverter,electricity,conversion,5363.1223,521.2955018810816,0.0
brine-bus,in,brine-excess,water,excess,,,
dc-elec-bus,in,battery-storage,electricity,storage,-0.0,-0.0,
dc-elec-bus,in,inverter,electricity,conversion,,,0.0
dc-elec-bus,out,battery-storage,electricity,storage,-0.0,-0.0,
dc-elec-bus,out,pv-panel,electricity,volatile,37640.246,3657.8791177668913,12372.354811955493
drinking-water-bus,in,drinking-water-storage,water,storage,-0.0,-0.0,
drinking-water-bus,out,drinking-water-storage,water,storage,-0.0,-0.0,
service-water-bus,in,service-water-storage,water,storage,-0.0,-0.0,
service-water-bus,out,service-water-storage,water,storage,-0.0,-0.0,
solar-bus,out,solar-resource,energy,dispatchable,,-0.0,0.0
