bus,direction,asset,carrier,facade_type,Upfront Investment Costs,Annuity Total,Variable Costs Total
ac-elec-bus,in,battery-storage,electricity,storage,-0.0,-0.0,
ac-elec-bus,in,electricity-demand,electricity,load,,,
ac-elec-bus,in,electricity-excess,electricity,excess,,,
ac-elec-bus,in,water pump,electricity,water-pump,,,0.0
ac-elec-bus,in,water-filtration-system,electricity,water-filtration,,,0.0
ac-elec-bus,out,battery-storage,electricity,storage,-0.0,-0.0,
ac-elec-bus,out,diesel-generator,electricity,conversion,0.0,0.0,0.0
ac-elec-bus,out,inverter,electricity,conversion,0.0,0.0,0.0
ac-elec-bus,out,wind-turbine,electricity,conversion,-0.0,-0.0,0.0
banana-bus,in,banana-production,banana,excess,,,
banana-bus,out,banana,banana,crop,,,0.0
brine-bus,in,brine-excess,water,excess,,,
dc-elec-bus,in,inverter,electricity,conversion,,,0.0
dc-elec-bus,out,pv-panel,electricity,conversion,0.0,0.0,0.0
diesel-bus,in,diesel-generator,energy,conversion,,,0.0
diesel-bus,out,diesel,energy,dispatchable,,0.0,99.10899347683907
drinking-water-bus,in,drinking-water-demand,water,load,,,
drinking-water-bus,in,drinking-water-storage,water,storage,1885.217694,189.7380319204502,
drinking-water-bus,out,bottled-water,water,dispatchable,,-0.0,0.0
drinking-water-bus,out,drinking-water-storage,water,storage,1885.217694,189.7380319204502,
drinking-water-bus,out,water-filtration-system,water,water-filtration,25169.47375,2204.4432565138018,
groundwater-bus,in,water pump,water,water-pump,,,0.0
groundwater-bus,out,groundwater,water,dispatchable,,-0.0,0.0
precipitation-bus,in,rainwater-harvesting,water,conversion,,,0.0
precipitation-bus,out,precipitation,water,dispatchable,,0.0,0.0
river-flow-bus,out,river-flow,energy,dispatchable,,-0.0,0.0
river-water-bus,in,river-water-uptake,water,conversion,,,0.0
river-water-bus,out,river-water,water,dispatchable,,0.0,0.0
service-water-bus,in,service-water-demand,water,load,,,
service-water-bus,in,service-water-storage,water,storage,-0.0,-0.0,
service-water-bus,in,water-filtration-system,water,water-filtration,,,0.0
service-water-bus,out,rainwater-harvesting,water,conversion,10913.558,1279.069026742344,0.0
service-water-bus,out,river-water-uptake,water,conversion,0.0,0.0,0.0
service-water-bus,out,service-water-storage,water,storage,-0.0,-0.0,
service-water-bus,out,water pump,water,water-pump,-0.0,-0.0,
solar-bus-crop,in,banana,energy,crop,,,0.0
solar-bus-crop,out,solar-resource-crop,energy,dispatchable,,-0.0,0.0
solar-bus-pv,in,pv-panel,energy,conversion,,,0.0
solar-bus-pv,out,solar-resource-pv,energy,dispatchable,,0.0,0.0
wind-bus,in,wind-turbine,energy,conversion,,,0.0
wind-bus,out,wind-resource,energy,dispatchable,,-0.0,0.0
