timeindex,ghi,t_air,e,tp,windspeed,t_dp,cum_temp,f_temp,f_heat,pv_power,rad_net,g,et_p,tp_ground,runoff,deep_drain,et_a,irrigation,swc,f_drought,delta_i50b,f_solar,biomass_gen,electricity_gen,water_harvest,ghi_kW
2022-01-01T00:00:00Z,1e-10,16.36783,1e-10,1e-10,2.11893,2.19788,0.4319929167,0.5183915,1.0,1e-10,1e-10,1e-10,0.0603567728,1e-10,0.4703703704,1e-10,1e-10,1e-10,900.0,1e-10,1e-10,1e-10,1e-10,1e-10,1e-10,1e-10
2022-01-01T01:00:00Z,1e-10,16.34314,1e-10,1e-10,2.42896,2.24634,0.8629570833,0.517157,1.0,1e-10,1e-10,1e-10,0.0638208468,1e-10,0.4703703704,1e-10,0.0638208468,0.534191217,900.0,1.0,1e-10,1e-10,1e-10,1e-10,1e-10,1e-10
2022-01-01T02:00:00Z,1e-10,15.45224,1e-10,1e-10,2.79072,2.20529,1.2568004167,0.472612,1.0,1e-10,1e-10,1e-10,0.0629202025,1e-10,0.4703703704,1e-10,0.0629202025,0.5332905728,900.0,1.0,1e-10,0.0052775354,1e-10,1e-10,1e-10,1e-10
2022-01-01T03:00:00Z,1e-10,14.47086,1e-10,1e-10,2.95563,2.11841,1.6097529167,0.423543,1.0,1e-10,1e-10,1e-10,0.0592519687,1e-10,0.4703703704,1e-10,0.0592519687,0.5296223389,900.0,1.0,1e-10,0.0052960914,1e-10,1e-10,1e-10,1e-10
2022-01-01T04:00:00Z,1e-10,13.55655,1e-10,1e-10,2.92501,1.89487,1.9246091667,0.3778275,1.0,1e-10,1e-10,1e-10,0.0549160554,1e-10,0.4703703704,1e-10,0.0549160554,0.5252864257,900.0,1.0,1e-10,0.0053126994,1e-10,1e-10,1e-10,1e-10
2022-01-01T05:00:00Z,1e-10,12.61884,1e-10,1e-10,2.96934,1.81061,2.2003941667,0.330942,1.0,1e-10,1e-10,1e-10,0.0505484168,1e-10,0.4703703704,1e-10,0.0505484168,0.520918787,900.0,1.0,1e-10,0.005327289,1e-10,1e-10,1e-10,1e-10
2022-01-01T06:00:00Z,1e-10,12.18857,1e-10,1e-10,3.06556,1.58621,2.45825125,0.3094285,1.0,1e-10,1e-10,1e-10,0.049553111,1e-10,0.4703703704,1e-10,0.049553111,0.5199234813,900.0,1.0,1e-10,0.0053409662,1e-10,1e-10,1e-10,1e-10
2022-01-01T07:00:00Z,1e-10,11.75198,1e-10,1e-10,3.09529,1.19284,2.6979170833,0.287599,1.0,1e-10,1e-10,1e-10,0.0487216587,1e-10,0.4703703704,1e-10,0.0487216587,0.519092029,900.0,1.0,1e-10,0.0053537098,1e-10,1e-10,1e-10,1e-10
2022-01-01T08:00:00Z,7.09938,11.89941,1e-10,1e-10,2.98771,0.87979,2.9437258333,0.2949705,1.0,4.1098141565,2.1334856092,0.2133485609,0.050929132,1e-10,0.4703703704,1e-10,0.050929132,0.5212995023,900.0,1.0,1e-10,0.0053668114,1.57905e-05,0.0013921547,1e-10,0.00709938
2022-01-01T09:00:00Z,131.8208,14.63348,1e-10,1e-10,2.5346,0.75974,3.3034541667,0.431674,1.0,74.4913499161,39.6144141875,3.9614414187,0.0832252526,1e-10,0.4703703704,1e-10,0.0832252526,0.5535956229,900.0,1.0,1e-10,0.0053860424,0.0004306165,0.0252331323,1e-10,0.1318208
