source,apv-system,apv-system,apv-system,atmosphere,biomass-bus,electricity-bus,irrigation-bus,precipitation-bus,solar-energy-bus,sun,water-harvest-bus,water-source
target,biomass-bus,electricity-bus,water-harvest-bus,precipitation-bus,biomass-excess,electricity-excess,apv-system,apv-system,apv-system,solar-energy-bus,water-excess,irrigation-bus
var_name,flow,flow,flow,flow,flow,flow,flow,flow,flow,flow,flow,flow
2022-01-01 00:00:00,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08
2022-01-01 01:00:00,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,170.94119,3.2e-08,3.2e-08,3.2e-08,3.2e-08,170.94119
2022-01-01 02:00:00,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,170.65298,3.2e-08,3.2e-08,3.2e-08,3.2e-08,170.65298
2022-01-01 03:00:00,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,169.47915,3.2e-08,3.2e-08,3.2e-08,3.2e-08,169.47915
2022-01-01 04:00:00,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,168.09166,3.2e-08,3.2e-08,3.2e-08,3.2e-08,168.09166
2022-01-01 05:00:00,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,166.69401,3.2e-08,3.2e-08,3.2e-08,3.2e-08,166.69401
2022-01-01 06:00:00,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,166.37551,3.2e-08,3.2e-08,3.2e-08,3.2e-08,166.37551
2022-01-01 07:00:00,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,166.10945,3.2e-08,3.2e-08,3.2e-08,3.2e-08,166.10945
2022-01-01 08:00:00,0.00505296,0.4454895,3.2e-08,3.2e-08,0.00505296,0.4454895,166.81584,3.2e-08,2.2718016,2.2718016,3.2e-08,166.81584
2022-01-01 09:00:00,0.13779728,8.0746023,3.2e-08,3.2e-08,0.13779728,8.0746023,177.1506,3.2e-08,42.182656,42.182655999999994,3.2e-08,177.1506
2022-01-01 10:00:00,0.4646279,18.848787,3.2e-08,3.2e-08,0.4646279,18.848787,194.94447,3.2e-08,101.9174,101.9174016,3.2e-08,194.94447
2022-01-01 11:00:00,0.86712182,27.525942,3.2e-08,3.2e-08,0.86712182,27.525942,215.13857,3.2e-08,153.40484,153.4048448,3.2e-08,215.13857
2022-01-01 12:00:00,1.1798423,33.102584,3.2e-08,3.2e-08,1.1798423,33.102584,227.16279,3.2e-08,188.10422,188.104224,3.2e-08,227.16279
2022-01-01 13:00:00,1.3336051,35.479074,3.2e-08,3.2e-08,1.3336051,35.479074,229.02336,3.2e-08,203.32885,203.328848,3.2e-08,229.02336
2022-01-01 14:00:00,1.3230311,34.341515,3.2e-08,3.2e-08,1.3230311,34.341515,225.99286,3.2e-08,196.53873,196.5387296,3.2e-08,225.99286
2022-01-01 15:00:00,1.116704,29.861295,3.2e-08,3.2e-08,1.116704,29.861295,216.48726,3.2e-08,168.77114,168.771136,3.2e-08,216.48726
2022-01-01 16:00:00,0.76665923,22.226522,3.2e-08,3.2e-08,0.76665923,22.226522,203.05874,3.2e-08,122.90501,122.9050112,3.2e-08,203.05874
2022-01-01 17:00:00,0.37862384,12.017711,3.2e-08,3.2e-08,0.37862384,12.017711,188.37795,3.2e-08,64.748886,64.7488864,3.2e-08,188.37795
2022-01-01 18:00:00,0.05791072,2.1666483,3.2e-08,3.2e-08,0.05791072,2.1666483,168.31063,3.2e-08,11.364067,11.364067200000001,3.2e-08,168.31063
2022-01-01 19:00:00,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,161.24826,3.2e-08,3.2e-08,3.2e-08,3.2e-08,161.24826
2022-01-01 20:00:00,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,157.97975,3.2e-08,3.2e-08,3.2e-08,3.2e-08,157.97975
2022-01-01 21:00:00,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,160.14203,3.2e-08,3.2e-08,3.2e-08,3.2e-08,160.14203
2022-01-01 22:00:00,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,157.8662,3.2e-08,3.2e-08,3.2e-08,3.2e-08,157.8662
2022-01-01 23:00:00,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,158.74346,3.2e-08,3.2e-08,3.2e-08,3.2e-08,158.74346
2022-01-02 00:00:00,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,161.00023,3.2e-08,3.2e-08,3.2e-08,3.2e-08,161.00023
2022-01-02 01:00:00,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,163.54798,3.2e-08,3.2e-08,3.2e-08,3.2e-08,163.54798
2022-01-02 02:00:00,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,163.67481,3.2e-08,3.2e-08,3.2e-08,3.2e-08,163.67481
2022-01-02 03:00:00,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,163.87716,3.2e-08,3.2e-08,3.2e-08,3.2e-08,163.87716
2022-01-02 04:00:00,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,163.07622,3.2e-08,3.2e-08,3.2e-08,3.2e-08,163.07622
2022-01-02 05:00:00,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,163.03564,3.2e-08,3.2e-08,3.2e-08,3.2e-08,163.03564
2022-01-02 06:00:00,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,163.00729,3.2e-08,3.2e-08,3.2e-08,3.2e-08,163.00729
2022-01-02 07:00:00,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,3.2e-08,162.86554,3.2e-08,3.2e-08,3.2e-08,3.2e-08,162.86554
