bus,direction,asset,carrier,facade_type,Capacity,Expandable,Investments
biomass-bus,in,biomass-excess,mimo,excess,,,
biomass-bus,out,apv-system,mimo,,320.0,0.0,
electricity-bus,in,electricity-excess,mimo,excess,,,
electricity-bus,out,apv-system,mimo,,320.0,0.0,
rain-bus,in,apv-system,mimo,,320.0,0.0,
rain-bus,out,rain,mimo,dispatchable,0.0,1.0,959.3216
solar-energy-bus,in,apv-system,mimo,,320.0,0.0,
solar-energy-bus,out,sun,mimo,volatile,320.0,0.0,
water-bus-in,in,apv-system,mimo,,320.0,0.0,
water-bus-in,out,back-up-water,mimo,dispatchable,0.0,1.0,190.22449
water-bus-out,in,water-excess,mimo,excess,,,
water-bus-out,out,apv-system,mimo,,320.0,0.0,
