bus,direction,asset,carrier,facade_type,Capacity,Storage Capacity,Expandable,Investments,Capacity Total
ac-elec-bus,in,elec-demand,electricity,load,,,,,
ac-elec-bus,in,electricity-excess,electricity,excess,,,,,
ac-elec-bus,in,seawater-reverse-osmosis,electricity,ro,0.0,,1.0,,
ac-elec-bus,in,water pump,electricity,water-pump,0.0,,0.0,,
ac-elec-bus,in,water-filtration-system,electricity,water-filtration,0.0,,1.0,,
ac-elec-bus,out,diesel-generator,electricity,conversion,0.0,,1.0,-0.0,0.0
ac-elec-bus,out,electricity-grid,electricity,dispatchable,0.0,,1.0,85.297571,85.297571
ac-elec-bus,out,inverter,electricity,conversion,0.0,,1.0,-0.0,0.0
brine-bus,in,brine-excess,water,excess,,,,,
brine-bus,out,seawater-reverse-osmosis,water,ro,0.0,,1.0,,
dc-elec-bus,in,battery-storage,electricity,storage,0.0,0.0,1.0,-0.0,0.0
dc-elec-bus,in,inverter,electricity,conversion,0.0,,1.0,,
dc-elec-bus,out,battery-storage,electricity,storage,0.0,0.0,1.0,-0.0,0.0
dc-elec-bus,out,photovoltaics,electricity,volatile,0.0,,1.0,-0.0,0.0
dc-elec-bus,out,pv-panel,electricity,pv-panel,0.0,,1.0,-0.0,0.0
dc-elec-bus,out,wind-turbine,electricity,volatile,0.0,,1.0,-0.0,0.0
diesel-bus,in,diesel-generator,energy,conversion,0.0,,1.0,,
diesel-bus,out,diesel,energy,dispatchable,0.0,,1.0,-0.0,0.0
drinking-water-bus,in,drinking-water-demand,water,load,,,,,
drinking-water-bus,in,drinking-water-storage,water,storage,0.0,0.0,1.0,19.212127,19.212127
drinking-water-bus,out,bottled-water,water,dispatchable,0.0,,0.0,,
drinking-water-bus,out,drinking-water-storage,water,storage,0.0,0.0,1.0,19.212127,19.212127
drinking-water-bus,out,seawater-reverse-osmosis,water,ro,0.0,,1.0,,
drinking-water-bus,out,water pump,water,water-pump,0.0,,0.0,,
drinking-water-bus,out,water-filtration-system,water,water-filtration,0.0,,1.0,-0.0,0.0
groundwater-bus,in,water pump,water,water-pump,0.0,,0.0,,
groundwater-bus,out,groundwater,water,dispatchable,0.0,,1.0,-0.0,0.0
precipitation-bus,out,precipitation,water,dispatchable,0.0,,1.0,-0.0,0.0
seawater-bus,in,seawater-reverse-osmosis,water,ro,0.0,,1.0,2.4646811,2.4646811
seawater-bus,out,seawater-source,water,dispatchable,0.0,,1.0,2.4646811,2.4646811
service-water-bus,in,service-water-demand,water,load,,,,,
service-water-bus,in,service-water-storage,water,storage,0.0,0.0,1.0,16.234881,16.234881
service-water-bus,in,water-filtration-system,water,water-filtration,0.0,,1.0,,
service-water-bus,out,condensed-water,water,volatile,1.0,,0.0,,
service-water-bus,out,rainwater-harvesting,water,volatile,0.0,,1.0,240.10632,240.10632
service-water-bus,out,service-water-storage,water,storage,0.0,0.0,1.0,16.234881,16.234881
service-water-bus,out,water-truck,water,dispatchable,0.0,,0.0,,
solar-bus,in,pv-panel,energy,pv-panel,0.0,,1.0,,
solar-bus,out,solar-resource,energy,dispatchable,0.0,,1.0,-0.0,0.0
wind-bus,out,wind-resource,energy,dispatchable,0.0,,1.0,-0.0,0.0
